Liv__1 Liv__2 Liv__3 Liv__4 Liv__5 Myo__1 Myo__2 Myo__3 Myo__4 Myo__5
Adprh NA NA NA NA NA NA 26.7624493137851 NA 27.1925499315292 26.7333145024976
Adprhl1 NA NA NA NA NA NA 25.7148277137478 26.2108451337287 25.8687060297991 26.1326004117814
Adprhl2 24.4966111439076 23.8605626494091 24.4962210379524 24.5266327004764 24.4207894489943 NA NA 24.8448039480962 NA 25.2334409935614
Adsl 25.7462207399819 26.3398465942768 25.8102045531089 26.2162925798642 26.1666024588741 31.0371279118964 30.7267204870897 30.9030085393908 30.8187089993019 30.6460689347161
Adss 27.8033897855479 27.664420823287 27.6139261998626 27.7840563115361 27.6035239938807 NA NA 28.7261397676573 NA NA
Adssl1 28.0389086315063 28.5073552959613 28.4573848207764 27.700685722219 27.8957651716762 33.8688058672871 33.5012404179156 33.6332329309788 33.602594640512 33.6071506004129
Afdn 26.9532833832385 26.6316072860667 26.6828836727495 26.0893502342455 26.9967219141179 NA 24.592312509503 NA NA NA
Afg1l 24.181387007696 23.8746886458615 23.8039378825875 NA 24.3527957044422 25.1216314241003 NA NA NA NA
Afg3l1 26.1808438296976 26.1474108881764 26.0248342188008 26.23938454297 26.4029301628228 NA NA NA NA NA
Afg3l2 28.7185768634873 28.6560806296061 28.8738667167864 28.8289343131868 28.8231664058694 NA 28.0573624084354 NA 27.3131109403479 26.734307485632
Afmid 26.7366823538055 26.5471543571321 26.2608513137931 26.4818454475679 26.5608628417467 NA NA NA NA NA
Agfg1 26.2614700599117 26.3888890453269 26.1250141598704 26.7823695198128 26.2115612110592 NA NA NA NA NA
Agfg2 24.8677526615244 25.0365370621593 24.6639093857341 24.5755564420456 25.1864392630632 NA NA NA NA NA
Agl 31.3610338993826 31.2196124522687 30.7100594982671 29.9562469913615 31.3339723579868 34.0071189132541 33.7243062708674 33.9320256425694 33.8223805847952 33.7537604350877
Agmat 29.9515456124495 29.985835485292 29.757836571945 29.5615714636637 29.7562756694625 NA NA NA NA NA
Agpat2 24.7721876538207 NA 24.634802138031 24.7208307020245 25.0513220259955 NA NA NA NA NA
Agpat3 25.4494907315596 25.2803688604558 25.119065832458 25.0809967805019 25.5057212875543 NA NA NA NA NA
Agxt 27.7485955153885 28.0008546479547 28.2369367136852 28.1001878004848 28.0011562468636 NA NA NA NA NA
Agxt2 29.9549981639613 29.8984047389506 29.5605065109288 29.7435664218194 29.8733427137306 NA NA NA NA NA
Ahctf1 NA 23.8143773131022 NA 23.7988859065527 23.8318134870514 NA NA NA NA NA
Ahcyl1 27.3167087842044 27.0798432773513 27.0460645936185 27.8059380937642 26.8382939804556 NA NA NA NA NA
Ahnak 29.0106931884614 29.2015071169686 28.9995155527711 28.297289089737 29.3838591800323 31.7444031321947 31.4164668009606 31.4823771843059 31.6506896430568 31.366643539988
Ahnak2 25.2265483315107 25.2420272404362 25.6134201508761 NA 25.3085352138685 NA NA NA NA 26.3190119886622
Ahsa1 28.1845562299115 28.3287145083784 28.3444924037569 28.8587066692128 28.4644300860994 NA 27.6807676485323 NA NA 27.6050244686871
Ahsg 28.9914425294894 29.3074554327201 28.5612413880781 28.341639880366 29.0401530376512 NA 28.7237826577697 27.4603725940854 28.4288328482435 28.3022331925174
Aifm1 32.3179484487076 32.1342497193017 32.2331454587274 32.2592712465461 31.8774228132869 27.9987132104928 30.0479810529651 29.0097908080139 29.4906156387119 29.5720565863999
Aimp1 27.8839754410767 28.0217223956672 28.3429364438475 28.227460704305 27.8547663726237 27.5342972689159 27.604668474017 NA 27.2833801658481 27.5245202215454
Aimp2 27.9621281578667 27.9264795503644 27.6231556869512 27.3725045121618 27.5439864762289 29.4972673241805 NA NA NA NA
Ak1 24.0517395122984 22.314041845244 22.7027234445508 21.6935576020396 22.8774467158572 36.8960344898942 36.6994752371951 36.8702726004322 36.8365605110564 36.743626057954
Ak2 32.8620977398035 32.8021564987321 32.7227248756961 32.6200717191384 32.7363607256771 NA 27.5832464987548 26.7396894452645 24.8959662210541 25.48044347186
Ak3 32.6153704056355 33.0257690603575 32.7466889146984 32.6307957095798 33.0634761988088 25.5520014621733 26.1210256455001 23.15667446633 24.3498594864053 25.4399172656155
Ak4 27.9111603874918 27.655770805694 27.9672243413147 27.6175377153549 27.7713456343426 NA NA 27.1058735569587 NA NA
Akap1 27.1495542832683 26.98305978585 27.1378796720229 27.0030985845548 27.1440201230816 NA NA NA NA NA
Akap2 24.5314728260417 24.8529069794381 24.5563474080523 24.7334200982439 NA NA NA NA NA 25.6006012816529
Akap8 24.669147580365 25.7585501333794 24.7287042443522 24.6127598319431 24.4878190604093 NA NA NA NA NA
Akr1a1 32.6904111323364 32.655896679683 32.7089644735156 32.5794470420583 32.6206438703573 NA 26.1459170464337 25.7394300710349 NA 22.4129849431912
