Protein.ID Gene.Name name ID
329 ENSMUSP00000009256 Bcl2l13 Bcl2l13 ENSMUSP00000009256
330 ENSMUSP00000140428 Bclaf1 Bclaf1 ENSMUSP00000140428
331 ENSMUSP00000110882 Bdh1 Bdh1 ENSMUSP00000110882
332 ENSMUSP00000126768 Bgn Bgn ENSMUSP00000126768
333 ENSMUSP00000156976 Bin1 Bin1 ENSMUSP00000156976
334 ENSMUSP00000021197 Blmh Blmh ENSMUSP00000021197
335 ENSMUSP00000002064 Blvra Blvra ENSMUSP00000002064
336 ENSMUSP00000043092 Blvrb Blvrb ENSMUSP00000043092
337 ENSMUSP00000015725 Bnip1 Bnip1 ENSMUSP00000015725
338 ENSMUSP00000148170 Bnip3 Bnip3 ENSMUSP00000148170
339 ENSMUSP00000113439 Bola3 Bola3 ENSMUSP00000113439
340 ENSMUSP00000047393 Bpgm Bpgm ENSMUSP00000047393
341 ENSMUSP00000046168 Bphl Bphl ENSMUSP00000046168
342 ENSMUSP00000027916 Bpnt1 Bpnt1 ENSMUSP00000027916
343 ENSMUSP00000048742 Bsdc1 Bsdc1 ENSMUSP00000048742
344 ENSMUSP00000101020 Bsg Bsg ENSMUSP00000101020
345 ENSMUSP00000051921 Bst2 Bst2 ENSMUSP00000051921
346 ENSMUSP00000118093 Btf3 Btf3 ENSMUSP00000118093
347 ENSMUSP00000125738 Bud31 Bud31 ENSMUSP00000125738
348 ENSMUSP00000051935 Bzw1 Bzw1 ENSMUSP00000051935
349 ENSMUSP00000077612 C1qbp C1qbp ENSMUSP00000077612
350 ENSMUSP00000127368 C2cd2 C2cd2 ENSMUSP00000127368
351 ENSMUSP00000149989 C2cd2l C2cd2l ENSMUSP00000149989
352 ENSMUSP00000024988 C3 C3 ENSMUSP00000024988
353 ENSMUSP00000069418 C4b C4b ENSMUSP00000069418
354 ENSMUSP00000102420 C8a C8a ENSMUSP00000102420
355 ENSMUSP00000108987 Cab39 Cab39 ENSMUSP00000108987
356 ENSMUSP00000014370 Cacybp Cacybp ENSMUSP00000014370
357 ENSMUSP00000110673 Cald1 Cald1 ENSMUSP00000110673
358 ENSMUSP00000105709 Calm1 Calm1 ENSMUSP00000105709
359 ENSMUSP00000003912 Calr Calr ENSMUSP00000003912
360 ENSMUSP00000020315 Cand1 Cand1 ENSMUSP00000020315
361 ENSMUSP00000137440 Canx Canx ENSMUSP00000137440
362 ENSMUSP00000101864 Cap1 Cap1 ENSMUSP00000101864
363 ENSMUSP00000121121 Capg Capg ENSMUSP00000121121
