"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000034926"	1.51033508491383	9.70218374233075	2.1452736091967e-26	1.27764883902562e-24
"ENSMUSG00000108969"	-3.67270372343012	-0.161077106995338	2.18529055894063e-26	1.29625468094591e-24
"ENSMUSG00000044548"	-2.00711476822252	1.84145338367715	2.72107342544712e-26	1.60761017975416e-24
"ENSMUSG00000039552"	3.82981260867551	1.03165419216467	3.18046144170843e-26	1.87153049777026e-24
"ENSMUSG00000022129"	3.7182395714151	1.48783426159621	4.5188074075276e-26	2.64852323052312e-24
"ENSMUSG00000071177"	-1.13067458116208	11.8270916130795	6.08882604072773e-26	3.55462294946832e-24
"ENSMUSG00000030701"	-1.38248670746274	4.63418215621038	8.00223500835787e-26	4.65326815249786e-24
"ENSMUSG00000070348"	2.08015597651581	4.51232273162715	9.23050268350536e-26	5.34645194648526e-24
"ENSMUSG00000017167"	2.83341848731134	3.59604471007239	9.6257987439121e-26	5.55363466592116e-24
"ENSMUSG00000031627"	-1.07517366151043	5.46170504155143	1.16647072264982e-25	6.70380255779681e-24
"ENSMUSG00000021226"	1.54653805434538	4.79287132247303	1.20695335560567e-25	6.9095740551534e-24
"ENSMUSG00000031451"	1.19336677253601	5.41781161411879	1.24907625555545e-25	7.12311053843783e-24
"ENSMUSG00000025351"	3.16947126319333	3.97671497820706	1.5594981891774e-25	8.85914932851931e-24
"ENSMUSG00000086432"	-2.03647153445536	2.34891697847699	1.85508217242745e-25	1.04979171213615e-23
"ENSMUSG00000062545"	2.06043214416302	3.49149121929451	2.90524050983139e-25	1.63780161565685e-23
"ENSMUSG00000022347"	5.2600367689039	0.964609333725108	3.02587680055768e-25	1.69932320700521e-23
"ENSMUSG00000027562"	1.5552449700735	3.35884104850455	4.41349496361001e-25	2.46921668986818e-23
"ENSMUSG00000066153"	-3.2394201515852	5.35983916470919	4.74793748846142e-25	2.64630327187076e-23
"ENSMUSG00000015653"	-1.51799699522649	2.80705634064697	5.09435839598716e-25	2.8287095304034e-23
